City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Salalah,OM,17.0151,54.0924,74.05,77,17,4.25,few clouds
130,Esperance,AU,-33.8667,121.9,63.57,73,55,4.59,broken clouds
131,Galich,RU,58.3797,42.3475,33.76,98,100,10.58,light snow
132,Nouadhibou,MR,20.931,-17.0347,82.38,20,0,5.75,clear sky
133,Zavallya,UA,48.2135,30.0156,36.59,71,100,2.66,overcast clouds
134,Ratnagiri,IN,16.9833,73.3,74.43,68,0,10.51,clear sky
135,Tura,IN,25.5198,90.2201,59.23,74,16,3.53,few clouds
136,Cidreira,BR,-30.1811,-50.2056,75.45,62,0,17.65,clear sky
137,Taunggyi,MM,20.7833,97.0333,54.48,84,40,2.35,scattered clouds
138,Yabelo,ET,4.8833,38.0833,66.96,50,83,6.02,broken clouds
139,Kaitangata,NZ,-46.2817,169.8464,52.39,96,100,3.62,overcast clouds
140,Shenjiamen,CN,29.9576,122.298,40.17,46,0,20.92,clear sky
141,Lasa,IT,46.6166,10.7002,38.03,94,100,5.46,overcast clouds
142,Kalmunai,LK,7.4167,81.8167,75.74,91,71,12.91,broken clouds
143,Pisco,PE,-13.7,-76.2167,72.01,78,80,10.36,mist
144,Margate,GB,51.3813,1.3862,53.11,89,83,7.0,broken clouds
145,Hithadhoo,MV,-0.6,73.0833,81.91,71,95,18.86,overcast clouds
146,Acatlan,MX,20.15,-98.45,45.41,94,100,6.02,overcast clouds
147,Chancay,PE,-11.5714,-77.2672,72.25,78,92,7.94,overcast clouds
148,Lebu,CL,-37.6167,-73.65,59.85,58,2,25.77,clear sky
149,Riyadh,SA,24.6877,46.7219,71.74,26,57,17.09,light rain
150,Harrismith,ZA,-28.2728,29.1295,68.99,46,26,6.8,scattered clouds
151,Port Hardy,CA,50.6996,-127.4199,30.38,86,100,26.46,overcast clouds
152,New Norfolk,AU,-42.7826,147.0587,58.71,71,100,3.0,overcast clouds
153,Melnikovo,RU,56.5558,84.085,-4.65,87,100,10.47,overcast clouds
154,College,US,64.8569,-147.8028,-1.1,64,15,5.01,few clouds
155,Saint-Philippe,RE,-21.3585,55.7679,80.19,81,90,10.09,overcast clouds
156,Bethel,US,41.3712,-73.414,48.56,83,100,5.01,overcast clouds
157,Kenai,US,60.5544,-151.2583,-2.11,84,0,3.44,clear sky
158,Jamestown,US,42.097,-79.2353,4.64,67,100,24.16,fog
159,Faanui,PF,-16.4833,-151.75,80.17,77,57,13.2,light rain
160,Sakakah,SA,29.9697,40.2064,51.37,79,100,8.84,overcast clouds
161,Litovko,RU,49.2361,135.1742,15.01,77,62,5.7,broken clouds
162,San Patricio,US,28.017,-97.5169,24.89,20,0,16.15,clear sky
163,Mitsamiouli,KM,-11.3847,43.2844,80.53,75,100,6.55,overcast clouds
164,Kafue,ZM,-15.7691,28.1814,67.3,85,70,5.46,broken clouds
165,Rudnogorsk,RU,57.2639,103.7519,-20.0,100,91,1.01,overcast clouds
166,Harper,LR,4.375,-7.7169,82.83,66,23,10.78,few clouds
167,Victoria,HK,22.2855,114.1577,61.32,57,10,4.0,clear sky
168,Aberdeen,GB,57.1437,-2.0981,42.21,76,40,11.5,scattered clouds
169,Atyrau,KZ,47.1167,51.8833,26.62,74,0,15.66,clear sky
170,Hosdurga,IN,13.7981,76.2861,66.76,61,85,5.28,overcast clouds
171,Salinopolis,BR,-0.6136,-47.3561,74.57,94,100,6.55,overcast clouds
172,Berlevag,NO,70.8578,29.0864,24.75,86,100,4.61,light snow
173,Borovoy,RU,55.4333,86.0833,-4.32,77,40,8.95,scattered clouds
174,Kuala Terengganu,MY,5.3302,103.1408,81.99,94,20,1.14,few clouds
175,Tigil,RU,57.8,158.6667,8.87,86,98,5.26,overcast clouds
176,Kavieng,PG,-2.5744,150.7967,81.95,78,69,12.15,broken clouds
177,Oriximina,BR,-1.7656,-55.8661,84.15,60,98,6.26,overcast clouds
178,Aklavik,CA,68.2191,-135.0107,-18.4,69,75,14.97,broken clouds
179,Oslo,NO,59.9127,10.7461,20.66,96,12,3.09,few clouds
180,Gilgit,PK,35.9221,74.3087,32.68,31,100,2.66,overcast clouds
181,Lata,PT,40.1629,-8.3327,56.82,84,93,6.49,overcast clouds
182,Orodara,BF,10.9492,-4.9342,83.28,15,77,7.49,broken clouds
183,Ati,TD,13.2154,18.3353,74.25,23,67,9.04,broken clouds
184,Bonfim,BR,3.0833,-59.95,88.41,38,69,12.44,broken clouds
185,Dubovskoye,RU,47.4092,42.7575,35.37,91,17,9.48,few clouds
186,Cochrane,CA,51.1834,-114.4687,-4.5,79,100,9.22,light snow
