City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
337,Norman Wells,CA,2022-12-20 21:41:27,65.282,-126.8329,-38.16,67,40,0.0
338,Atuona,PF,2022-12-20 21:32:24,-9.8,-139.0333,78.57,81,23,19.89
339,Harper,LR,2022-12-20 21:41:28,4.375,-7.7169,78.89,82,76,6.78
340,Bereda,ES,2022-12-20 21:41:29,43.2686,-7.5406,53.42,96,48,8.28
341,Fortuna,US,2022-12-20 21:41:30,40.5982,-124.1573,52.14,91,100,14.97
342,Touros,BR,2022-12-20 21:39:57,-5.1989,-35.4608,79.16,75,0,12.8
343,Dubti,ET,2022-12-20 21:41:31,11.7361,41.0853,74.7,54,4,10.74
344,Xiuyan,CN,2022-12-20 21:41:31,40.2928,123.2744,14.81,95,88,3.58
345,Albany,US,2022-12-20 21:40:05,42.6001,-73.9662,29.05,76,45,5.17
346,Luderitz,NA,2022-12-20 21:41:32,-26.6481,15.1594,66.49,69,0,17.38
347,Faanui,PF,2022-12-20 21:38:45,-16.4833,-151.75,80.51,76,21,17.65
348,Iqaluit,CA,2022-12-20 21:41:33,63.7506,-68.5145,-0.31,77,40,13.8
349,Victoria,HK,2022-12-20 21:33:52,22.2855,114.1577,64.26,62,100,13.0
350,Cape Town,ZA,2022-12-20 21:37:20,-33.9258,18.4232,65.1,73,20,25.32
351,Mataura,NZ,2022-12-20 21:32:25,-46.1927,168.8643,55.06,67,100,5.21
352,Albany,US,2022-12-20 21:40:05,42.6001,-73.9662,29.05,76,45,5.17
353,Jamestown,US,2022-12-20 21:37:15,42.097,-79.2353,32.02,55,75,3.0
354,Albany,US,2022-12-20 21:40:05,42.6001,-73.9662,29.05,76,45,5.17
355,Punta Arenas,CL,2022-12-20 21:41:35,-53.15,-70.9167,69.91,30,40,11.5
356,Acarau,BR,2022-12-20 21:41:36,-2.8856,-40.12,79.97,76,95,14.16
357,Castro,BR,2022-12-20 21:41:22,-24.7911,-50.0119,60.33,96,44,8.79
358,Gafargaon,BD,2022-12-20 21:41:37,24.4333,90.5667,63.99,74,30,3.71
359,Labuhan,ID,2022-12-20 21:41:38,-6.8844,112.2051,77.41,85,99,6.4
360,Suba,PH,2022-12-20 21:41:38,10.8438,121.0102,81.39,78,54,20.47
361,Hennebont,FR,2022-12-20 21:41:39,47.8051,-3.2734,53.71,97,75,4.61
362,Clyde River,CA,2022-12-20 21:41:39,70.4692,-68.5914,-7.37,77,0,5.75
363,Bandar,ID,2022-12-20 21:41:40,2.05,99.75,72.91,97,100,1.61
364,Talnakh,RU,2022-12-20 21:41:40,69.4865,88.3972,-23.8,99,100,4.16
365,Ushuaia,AR,2022-12-20 21:38:42,-54.8,-68.3,55.06,67,75,8.05
366,Yellowknife,CA,2022-12-20 21:40:10,62.456,-114.3525,-28.68,75,20,6.91
367,Puerto Ayora,EC,2022-12-20 21:38:44,-0.7393,-90.3518,82.36,89,71,5.99
368,Buta,CD,2022-12-20 21:41:42,2.7858,24.73,72.68,87,100,1.86
369,Eydhafushi,MV,2022-12-20 21:41:42,5.1033,73.0708,79.34,75,100,5.01
370,Punta Arenas,CL,2022-12-20 21:41:35,-53.15,-70.9167,69.91,30,40,11.5
371,Quesnel,CA,2022-12-20 21:40:16,52.9999,-122.5029,-28.7,68,100,2.3
372,Bethel,US,2022-12-20 21:42:43,41.3712,-73.414,36.48,62,0,10.36
373,Rikitea,PF,2022-12-20 21:38:49,-23.1203,-134.9692,76.68,87,47,19.35
374,Thompson,CA,2022-12-20 21:42:44,55.7435,-97.8558,-5.64,71,100,6.91
