,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
123,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Page 63 hostel
127,Lorengau,PG,82.22,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
129,Salalah,OM,74.05,few clouds,17.0151,54.0924,Muscat International Hotel
132,Nouadhibou,MR,82.38,clear sky,20.930999999999997,-17.0347,Hotel valencia
134,Ratnagiri,IN,74.43,clear sky,16.9833,73.3,Vihar
136,Cidreira,BR,75.45,clear sky,-30.1811,-50.2056,Hotel Castelo
142,Kalmunai,LK,75.74,broken clouds,7.4167,81.8167,Saji new food
143,Pisco,PE,72.01,mist,-13.7,-76.2167,La Portada
145,Hithadhoo,MV,81.91,overcast clouds,-0.6,73.0833,Pebbles Inn
149,Riyadh,SA,71.74,light rain,24.6877,46.7219,White Palace Hotel
155,Saint-Philippe,RE,80.19,overcast clouds,-21.3585,55.7679,Le Baril
159,Faanui,PF,80.17,light rain,-16.4833,-151.75,Oa Oa Lodge
163,Mitsamiouli,KM,80.53,overcast clouds,-11.3847,43.2844,Hotel le Paradis
171,Salinopolis,BR,74.57,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
174,Kuala Terengganu,MY,81.99,few clouds,5.3302,103.1408,Uncle Homestay
176,Kavieng,PG,81.95,broken clouds,-2.5744,150.7967,Kavieng Hotel
193,Dawei,MM,71.87,clear sky,14.0833,98.2,Royal Dawei ဟိုတယ်
198,Yulara,AU,71.35,few clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
208,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Tara-Mé
211,Kawalu,ID,72.28,overcast clouds,-7.3817,108.2082,Hotel Surya
212,Yenagoa,NG,87.37,clear sky,4.9247,6.2642,Peretimi Hotels Ltd.
220,Saldanha,ZA,71.65,overcast clouds,-33.0117,17.9442,Hoedjesbaai
227,Niamey,NE,82.69,clear sky,13.5137,2.1098,Redidence Croix du Sud
229,Puerto Del Rosario,ES,71.35,clear sky,28.5004,-13.8627,Hotel Tamasite
240,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Grand Bel Air
244,Ponta Do Sol,PT,70.72,clear sky,32.6667,-17.1,Estalagem Ponta do Sol
250,Camana,PE,73.69,overcast clouds,-16.6228,-72.7111,Caja Arequipa
252,Saint-Paul,RE,80.71,overcast clouds,-21.0096,55.2707,Hôtel d'application
253,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Terra Sur
254,Puerto Colombia,CO,86.09,few clouds,10.9878,-74.9547,Hotel Puerto Colombia
256,Angoche,MZ,78.17,overcast clouds,-16.2325,39.9086,Hotel Quirimbas
257,Meulaboh,ID,77.32,overcast clouds,4.1363,96.1285,Hotel Meuligou
258,Isangel,VU,78.49,light rain,-19.55,169.2667,Tanna Lodge
265,Matara,LK,75.74,few clouds,5.9485,80.5353,Villa Palm Breeze
268,Kisangani,CD,72.32,broken clouds,0.5167,25.2,Le Chalet
269,Sambava,MG,77.99,moderate rain,-14.2667,50.1667,Royal Sava Hôtel
272,Hambantota,LK,78.8,scattered clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
279,Mahibadhoo,MV,79.47,overcast clouds,3.7833,72.9667,Coral View Inn
284,Namibe,AO,70.75,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
287,Paraiso,CR,72.16,broken clouds,9.8383,-83.8656,Cabinas
300,Sinnamary,GF,80.49,overcast clouds,5.3833,-52.95,Hôtel du fleuve
303,Lazaro Cardenas,MX,82.36,scattered clouds,17.9583,-102.2,Hotel Sol del Pacífico
317,Vallenar,CL,87.78,clear sky,-28.5708,-70.7581,Hotel del Marqués
319,Karratha,AU,80.4,clear sky,-20.7377,116.8463,Karratha International Hotel
